阿柏克茲亞	阿柏克兹亚
負圖之托	负图之托
負向	负向
負心違願	负心违愿
負債表	负债表
負債累累	负债累累
負重致遠	负重致远
赴曲	赴曲
赴臺	赴台
副廠長	副厂长
副法向量	副法向量
副曲	副曲
副團長	副团长
副性徵	副性征
副總幹事	副总干事
婦女聯合會	妇女联合会
婦女團體	妇女团体
婦女雜誌	妇女杂志
婦人生鬚	妇人生须
傅彩	傅彩
傅粉施朱	傅粉施朱
傅科擺	傅科摆
傅克斯	傅克斯
傅里葉	傅里叶
傅立葉	傅立叶
傅立葉變換	傅立叶变换
傅利葉	傅利叶
傅說版築	傅说版筑
傅巖	傅岩
傅勻余	傅匀余
富布賴特	富布赖特
富春秋	富春秋
富富有餘	富富有余
富貴浮雲	富贵浮云
富貴如浮雲	富贵如浮云
富蘭克林	富兰克林
富里	富里
富里鄉	富里乡
富色彩	富色彩
富維克	富维克
富於	富于
富於想像	富于想像
富餘	富余
復案	复案
復冰	复冰
復仇	复仇
復仇記	复仇记
復仇雪恥	复仇雪耻
復仇者	复仇者
復讎	复雠
復出	复出
復除	复除
復旦	复旦
復旦大學	复旦大学
復旦橋	复旦桥
復蹈其轍	复蹈其辙
復蹈前轍	复蹈前辙
復讀	复读
復讀生	复读生
復發	复发
復返	复返
復耕	复耕
復工	复工
復古	复古
復古風	复古风
復古會	复古会
復歸	复归
復國	复国
復華	复华
復華金	复华金
復回	复回
復會	复会
復婚	复婚
復活	复活
復活島	复活岛
復活的軍團	复活的军团
復活節	复活节
復活節島	复活节岛
復活日	复活日
復活賽	复活赛
復籍	复籍
復建	复建
復建中心	复建中心
復健	复健
復健科	复健科
復健賽	复健赛
復健醫學	复健医学
復健中心	复健中心
復交	复交
復舊	复旧
復舊如新	复旧如新
復刊	复刊
復康巴士	复康巴士
復刻	复刻
復課	复课
復禮	复礼
復禮克己	复礼克己
復萌	复萌
復明	复明
復辟	复辟
復辟事件	复辟事件
復魄	复魄
復權	复权
復燃	复燃
復任	复任
復三	复三
復身	复身
復生	复生
復聖	复圣
復始	复始
復書	复书
復思	复思
復甦	复苏
復甦期	复苏期
復甦術	复苏术
復土	复土
復位	复位
復吸	复吸
復現	复现
復新	复新
復醒	复醒
復興	复兴
復興北路	复兴北路
復興黨	复兴党
復興島	复兴岛
復興崗	复兴岗
復興高中	复兴高中
復興工商	复兴工商
復興館	复兴馆
復興廣播	复兴广播
復興廣播電臺	复兴广播电台
復興號	复兴号
復興基地	复兴基地
復興劇校	复兴剧校
復興劇藝學校	复兴剧艺学校
復興路	复兴路
復興門	复兴门
復興南路	复兴南路
復興區	复兴区
復興社	复兴社
復興時代	复兴时代
復興鄉	复兴乡
復興中學	复兴中学
復學	复学
復學生	复学生
復氧能力	复氧能力
復業	复业
復役	复役
復元	复元
復原	复原
復原期	复原期
復員	复员
復員令	复员令
復圓	复圆
復政	复政
復職	复职
復轉	复转
復壯	复壮
復子明辟	复子明辟
復卒	复卒
腹板	腹板
腹裏	腹里
腹面	腹面
腹瀉藥	腹泻药
腹語術	腹语术
複本	复本
複本位制度	复本位制度
複比	复比
複比例	复比例
複壁	复壁
複變函數	复变函数
複變函數論	复变函数论
複測	复测
複查	复查 复査
複稱	复称
複詞	复词
複次	复次
複道	复道
複對數	复对数
複發率	复发率
複發性	复发性
複方	复方
複肥	复肥
複分解	复分解
複分解反應	复分解反应
複分數	复分数
複分析	复分析
複輔音	复辅音
複復	复复
複閣	复阁
複共軛	复共轭
複果	复果
複函數	复函数
複合	复合
複合板	复合板
複合包裝	复合包装
複合材料	复合材料
複合傳動	复合传动
複合詞	复合词
複合詞素詞	复合词素词
複合蛋白質	复合蛋白质
複合肥料	复合肥料
複合概念	复合概念
複合管	复合管
複合光	复合光
複合國	复合国
複合機	复合机
複合技	复合技
複合架	复合架
複合金屬	复合金属
複合句	复合句
複合量詞	复合量词
複合民族國家	复合民族国家
複合命題	复合命题
複合模	复合模
複合膜	复合膜
複合母音	复合母音
複合年	复合年
複合企業	复合企业
複合攝影	复合摄影
複合式	复合式
複合體	复合体
複合物	复合物
複合型	复合型
複合性	复合性
複合樣式	复合样式
複合藥	复合药
複合元音	复合元音
複合韻母	复合韵母
複合增長	复合增长
複合裝甲	复合装甲
複合字	复合字
複覈	复核
複婚制	复婚制
複基因	复基因
複檢	复检
複句	复句
複決	复决
複決權	复决权
複利	复利
複利法	复利法
複利計算	复利计算
複利率	复利率
複列	复列
複流	复流
複名	复名
複名詞	复名词
複名數	复名数
複目	复目
複拍子	复拍子
複頻	复频
複品牌	复品牌
複平面	复平面
複評	复评
複錢	复钱
複仞年如	复仞年如
複襦	复襦
複賽	复赛
複色	复色
複色光	复色光
複審	复审
複式	复式
複式關稅	复式关税
複式教學	复式教学
複式路面	复式路面
複視	复视
複試	复试
複述	复述
複數	复数
複數平面	复数平面
複數形	复数形
複數形式	复数形式
複數域	复数域
複誦	复诵
複習	复习
複習考	复习考
複線	复线
複相關	复相关
複寫	复写
複寫紙	复写纸
複姓	复姓
複選	复选
複選題	复选题
複穴	复穴
複循環發電	复循环发电
複訓	复训
複鹽	复盐
複眼	复眼
複驗	复验
複葉	复叶
複以百萬	复以百万
複意	复意
複議	复议
複音	复音
複音詞	复音词
複音形	复音形
複印	复印
複印機	复印机
複印品	复印品
複印紙	复印纸
複用	复用
複元音	复元音
複閱	复阅
複韻	复韵
複韻母	复韵母
複雜	复杂
複雜度	复杂度
複雜度理論	复杂度理论
複雜化	复杂化
複雜勞動	复杂劳动
複雜生產	复杂生产
複雜系統	复杂系统
複雜性	复杂性
複診	复诊
複殖目	复殖目
複殖吸蟲	复殖吸虫
複製	复制
複製出	复制出
複製品	复制品
複製下來	复制下来
複種	复种
複種指數	复种指数
複字鍵	复字键
複綜語	复综语
賦別	赋别
賦格曲	赋格曲
賦詩言志	赋诗言志
賦閒	赋闲
鮒魚困涸轍難待西江水	鲋鱼困涸辙难待西江水
覆按	复按
覆敗	复败
覆杯	复杯
覆被	复被
覆庇之恩	复庇之恩
覆蔽	复蔽
覆瓿	复瓿
覆巢之下無完卵	覆巢之下无完卵
覆車	复车
覆車當戒	复车当戒
覆車繼軌	复车继轨
覆車之軌	复车之轨
覆車之鑑	复车之鉴
覆車之戒	复车之戒
覆車之轍	复车之辙
覆成	复成
覆呈	复呈
覆幬	复帱
覆電	复电
覆鼎	复鼎
覆蓋	复盖 覆盖
覆蓋範圍	覆盖范围
覆蓋率	复盖率
覆蓋面	复盖面 覆盖面
覆蓋住	复盖住
覆海移山	复海移山
覆醢	复醢
覆函	复函
覆醬瓿	复酱瓿
覆蕉尋鹿	复蕉寻鹿
覆軍	复军
覆軍殺將	复军杀将
覆鹿尋蕉	复鹿寻蕉
覆鹿遺蕉	复鹿遗蕉
覆露	复露
覆冒	复冒
覆沒	复没 覆没
覆滅	复灭
覆命	复命
覆墓	复墓
覆逆	复逆
覆盤	复盘
覆盤難照	复盘难照
覆盆	复盆
覆盆難照	复盆难照
覆盆之冤	复盆之冤
覆盆子	复盆子
覆去翻來	复去翻来
覆上	复上
覆水	复水
覆水難收	覆水难收
覆餗	复𫗧
覆餗之患	复𫗧之患
覆餗之釁	复𫗧之衅
覆餗之憂	复𫗧之忧
覆文	复文
覆校	复校
覆信	复信
覆音	复音
覆盂	复盂
覆盂之安	复盂之安
覆盂之固	复盂之固
覆雨翻雲	复雨翻云 覆雨翻云
覆育	复育
覆在	复在
覆載	复载
覆帳	复帐
覆轍	复辙 覆辙
覆轍重蹈	复辙重蹈
覆舟	复舟
覆舟載舟	复舟载舟
覆住	复住
覆宗	复宗
馥郁	馥郁
噶布倫	噶布伦
噶大克	噶大克
噶當派	噶当派
噶拉多傑仁波切	噶拉多杰仁波切
該廠	该厂
該當	该当
該當何罪	该当何罪
該黨	该党
該回	该回
該扣	该扣
該面	该面
該向	该向
該於	该于
該鐘	该钟
改變不了	改变不了
改不了	改不了
改當	改当
改惡向善	改恶向善
改個	改个
改回	改回
改扣	改扣
改了	改了
改了又改	改了又改
改良品種	改良品种
改良種	改良种
改唸	改念
改簽	改签
改頭換面	改头换面
改向	改向
改修	改修
改於	改于
改徵	改征
改制	改制
改製	改制
改製爲	改制为
概念	概念
蓋板	盖板
蓋杯	盖杯
蓋了	盖了
蓋了又蓋	盖了又盖
蓋世之才	盖世之才
蓋維克	盖维克
蓋於	盖于
甘巴里	甘巴里
甘當	甘当
甘谷	甘谷
甘谷縣	甘谷县
甘居下游	甘居下游
甘托克	甘托克
甘心情願	甘心情愿
甘於	甘于
甘願	甘愿
杆兒	杆儿
杆上	杆上
杆塔	杆塔
杆子	杆子
肝腦塗地	肝脑涂地
肝吸蟲	肝吸虫
肝鬱	肝郁
肝臟	肝脏
敢擺	敢摆
敢出	敢出
敢出來	敢出来
敢出去	敢出去
敢當	敢当
敢斗了膽	敢斗了胆
敢幹	敢干
敢借	敢借
敢情欲	敢情欲
敢向	敢向
敢於	敢于
敢作敢當	敢作敢当
敢做敢當	敢做敢当
桿秤	杆秤
桿刀	杆刀
桿兒	杆儿
桿菌	杆菌
桿菌類	杆菌类
桿菌素	杆菌素
桿菌性	杆菌性
桿茵	杆茵
桿直	杆直
桿狀	杆状
桿子	杆子
感恩不盡	感恩不尽
感發	感发
感化餅乾	感化饼干
感激不盡	感激不尽
感激萬分	感激万分
感覺出	感觉出
感覺出來	感觉出来
感慨萬千	感慨万千
感冒藥	感冒药
感念	感念
感嘆	感叹
感同身受	感同身受
感於	感于
趕不出	赶不出
趕不出來	赶不出来
趕出	赶出
趕出來	赶出来
趕出去	赶出去
趕得出	赶得出
趕回	赶回
趕回到	赶回到
趕回來	赶回来
趕回去	赶回去
趕盡殺絕	赶尽杀绝
趕了	赶了
趕錄	赶录
趕麪棍	赶面棍
趕前不趕後	赶前不赶后
趕屍	赶尸
趕下臺	赶下台
趕向	赶向
趕修	赶修
趕製	赶制
橄欖岩	橄榄岩
擀麪	擀面
擀麪杖	擀面杖
簳麪杖	簳面杖
干礙	干碍
干扁豆角	干扁豆角
干城	干城
干犯	干犯
干戈	干戈
干戈擾攘	干戈扰攘
干將	干将
干將莫邪	干将莫邪
干凱文	干凯文
干連	干连
干撓	干挠
干你	干你
干鏚	干戚
干卿底事	干卿底事
干卿何事	干卿何事
干擾	干扰
干擾到	干扰到
干擾力	干扰力
干擾素	干扰素
干涉	干涉
干涉現象	干涉现象
干涉儀	干涉仪
干時	干时
干他	干他
干她	干她
干我	干我
干係	干系
干休	干休
干謁	干谒
干邑	干邑
干與	干与
干預	干预
干政	干政
干支	干支
干支溝	干支沟
幹辦	干办
幹別的	干別的
幹不	干不
幹不成	干不成
幹不幹	干不干
幹不了	干不了
幹不下	干不下
幹部	干部
幹才	干才
幹成	干成
幹出	干出
幹粗活	干粗活
幹大事	干大事
幹當	干当
幹到	干到
幹道	干道
幹得	干得
幹得了	干得了
幹的停當	干的停当
幹點	干点
幹掉	干掉
幹犯法	干犯法
幹父之蠱	干父之蛊
幹幹幹幹	干干干干
幹革命	干革命
幹個	干个
幹個夠	干个够
幹蠱	干蛊
幹管	干管
幹過	干过
幹好	干好
幹何事	干何事
幹壞事	干坏事
幹活	干活
幹活兒	干活儿
幹幾輩	干几辈
幹幾番	干几番
幹幾件	干几件
幹幾樁	干几桩
幹幾宗	干几宗
幹濟	干济
幹家	干家
幹架	干架
幹盡	干尽
幹勁	干劲
幹勁沖天	干劲冲天
幹勁兒	干劲儿
幹勁十足	干劲十足
幹警	干警
幹就幹	干就干
幹了	干了
幹了什麼	干了什么
幹吏	干吏
幹練	干练
幹兩年	干两年
幹拎娘	干拎娘
幹流	干流
幹路	干路
幹略	干略
幹麻	干麻
幹麻阿	干麻阿
幹麻學	干麻学
幹嗎	干吗
幹嘛	干嘛
幹買賣	干买卖
幹麼	干么
幹那	干那
幹你	干你
幹你孃	干你娘
幹農活	干农活
幹女教師	干女教师
幹女同事	干女同事
幹女友	干女友
幹起	干起
幹起來	干起来
幹強盜	干强盗
幹渠	干渠
幹缺	干缺
幹羣	干群
幹羣關係	干群关系
幹人	干人
幹任何	干任何
幹啥	干啥
幹傻事	干傻事
幹上	干上
幹什	干什
幹什麼	干什么
幹甚	干甚
幹甚麼	干甚么
幹事	干事
幹事會	干事会
幹事長	干事长
幹他	干他
幹她	干她
幹探	干探
幹頭	干头
幹完	干完
幹我	干我
幹細胞	干細胞 干细胞
幹下去	干下去
幹線	干线
幹校	干校
幹些	干些
幹些什麼	干些什么
幹休所	干休所
幹一	干一
幹一壇法	干一坛法
幹營生	干营生
幹員	干员
幹仗	干仗
幹這	干这
幹這一行	干这一行
幹這種事	干这种事
幹着	干着
幹正事	干正事
幹支流	干支流
贛南師範學院	赣南师范学院
岡田准	冈田准
剛板硬正	刚板硬正
剛纔	刚才
剛纔是	刚才是
剛纔一載	刚才一载
剛纔在	刚才在
剛出	刚出
剛出道	刚出道
剛出來	刚出来
剛出去	刚出去
剛回	刚回
剛回到	刚回到
剛回來	刚回来
剛回去	刚回去
剛乾	刚干
剛柔並濟	刚柔并济
綱鑑	纲鉴
鋼板	钢板
鋼杯	钢杯
鋼筆桿	钢笔杆
鋼鏟	钢铲
鋼釦	钢扣
鋼樑	钢梁
鋼琴曲	钢琴曲
鋼曲尺	钢曲尺
鋼鐵廠	钢铁厂
鋼針	钢针
鋼製	钢制
鋼製品	钢制品
鋼種	钢种
崗臺	岗台
港澳臺	港澳台
港臺	港台
港臺地區	港台地区
港製	港制
港製品	港制品
杠八	杠八
杠二	杠二
杠九	杠九
杠六	杠六
杠七	杠七
杠三	杠三
杠四	杠四
杠五	杠五
杠一	杠一
杠增一	杠增一
槓桿	杠杆 槓杆
槓桿收購	杠杆收购
槓桿原理	槓杆原理
槓槓	杠杠
槓龜	杠龟
槓鈴	杠铃
槓牌	杠牌
槓起	杠起
槓上	杠上
槓頭	杠头
槓着	杠着
槓子	杠子
高岸深谷	高岸深谷
高柏松	高柏松
高標準	高标准
高步雲衢	高步云衢
高才	高才
高才生	高才生
高參	高参
高層建築	高层建筑
高層雲	高层云
高唱入雲	高唱入云
高出	高出
高處不勝寒	高处不胜寒
高等師範	高等师范
高度表	高度表
高度自制	高度自制
高爾察克	高尔察克
高爾基複合體	高尔基复合体
高發	高发
高杆	高杆
高干擾	高干扰
高干預	高干预
高幹	高干
高槓	高杠
高歌一曲	高歌一曲
高個	高个
高個兒	高个儿
高個子	高个子
高掛	高挂
高積雲	高积云
高級管理人才	高级管理人才
高几	高几
高技術	高技术
高價	高价
高價股	高价股
高價位	高价位
高腳杯	高脚杯
高筋麪粉	高筋面粉
高了	高了
高麗蔘	高丽参
高良薑	高良姜
高梁	高梁
高梁川	高梁川
高梁酒	高梁酒
高梁米	高梁米
高梁市	高梁市
高能烈性炸藥	高能烈性炸药
高票當選	高票当选
高清愿	高清愿
高球杯	高球杯
高山症	高山症
高升	高升
高手如雲	高手如云
高水準	高水准
高聳入雲	高耸入云
高臺	高台
高臺縣	高台县
高擡身價	高抬身价
高壇	高坛
高跳臺	高跳台
高纖	高纤
高纖維	高纤维
高性價	高性价
高學歷	高学历
高血壓藥	高血压药
高血壓症	高血压症
高血脂症	高血脂症
高英傑	高英杰
高於	高于
高郁淨	高郁淨
高雲	高云
高政昇	高政升
高脂血症	高脂血症
高志綱	高志纲
高志航	高志航
高志鵬	高志鹏
高志尚	高志尚
高致病性	高致病性
高致病性禽	高致病性禽
高週波	高周波
高胄	高胄
膏藥	膏药
膏藥旗	膏药旗
糕乾	糕干
告別	告别
告別式	告别式
告發	告发
告示板	告示板
鋯合金	锆合金
仡栗	仡栗
犵黨	犵党
肐膊折了往袖子裏藏	肐膊折了往袖子里藏
肐膊只折在袖子裏	肐膊只折在袖子里
咯噹	咯当
哥里	哥里
哥林多後書	哥林多后书
哥倫布	哥伦布
哥倫布紀	哥伦布纪
哥倫布市	哥伦布市
哥薩克	哥萨克
割出	割出
割回	割回
割回來	割回来
割回去	割回去
割據	割据
割了	割了
割捨	割舍
割捨不下	割舍不下
割圓術	割圆术
歌板	歌板
歌風臺	歌风台
歌后	歌后
歌劇團	歌剧团
歌曲	歌曲
歌聲繞梁	歌声绕梁
歌臺舞榭	歌台舞榭
歌壇	歌坛
歌壇上	歌坛上
歌壇新秀	歌坛新秀
歌舞昇平	歌舞升平
歌舞團	歌舞团
歌鐘	歌钟
歌仔戲團	歌仔戏团
擱板	搁板
擱腳板	搁脚板
挌鬥	挌斗
革出	革出
革出教門	革出教门
革出山門	革出山门
革面	革面
革面洗心	革面洗心
革命黨	革命党
革命黨人	革命党人
革命鬥志	革命斗志
革命發展	革命发展
革命發展階段論	革命发展阶段论
革命幹勁	革命干劲
革命積極	革命积极
革命積極性	革命积极性
革命意志	革命意志
革製品	革制品
格別烏	格别乌
格丹斯克	格丹斯克
格但斯克	格但斯克
格鬥	格斗
格鬥賽	格斗赛
格鬥王	格斗王
格鬥者	格斗者
格範	格范
格拉哥里字母	格拉哥里字母
格蘭傑	格兰杰
格勒諾布爾	格勒诺布尔
格里	格里
格里高利	格里高利
格里高利曆	格里高利历
格里曆	格里历
格里姆斯塔	格里姆斯塔
格列佛遊記	格列佛游记
格列高利曆	格列高利历
格林尼治標準時間	格林尼治标准时间
格林威治標準時間	格林威治标准时间
格林威治天文臺	格林威治天文台
格瑞諾布	格瑞诺布
格物致知	格物致知
格於	格于
格於成例	格于成例
格於環境	格于环境
格致	格致
格致誠正修齊	格致诚正修齐
格致國中	格致国中
格致中學	格致中学
格子布	格子布
格子棉布	格子棉布
葛布	葛布
葛拉斯里	葛拉斯里
葛蘭素史克	葛兰素史克
葛里芬	葛里芬
葛羅托斯基	葛罗托斯基
葛斯范桑	葛斯范桑
葛托維納	葛托维纳
隔板	隔板
隔別	隔别
隔艙板	隔舱板
隔出	隔出
隔出來	隔出来
隔斷板	隔断板
隔房同輩	隔房同辈
隔了	隔了
隔年的皇曆	隔年的皇历
隔年皇曆	隔年皇历
隔熱板	隔热板
隔山觀虎鬥	隔山观虎斗
隔向	隔向
隔音板	隔音板
隔週	隔周
嗝症	嗝症
閤兒	合儿
閤府	合府
閤府上	合府上
閤家	合家
閤家歡	合家欢
閤家子	合家子
閤眼	合眼
閤中	合中
各版面	各版面
各別	各别
各不相同	各不相同
各廠	各厂
各出	各出
各從其志	各从其志
各打五十板	各打五十板
各當	各当
各黨	各党
各黨派	各党派
各吊	各吊
各發	各发
各方面	各方面
各幹各	各干各
各個	各个
各個擊破	各个击破
各回	各回
各回合	各回合
各級黨委	各级党委
各借	各借
各盡	各尽
各盡其用	各尽其用
各盡所能	各尽所能
各類鐘	各类钟
各里	各里
各謀出路	各谋出路
各念	各念
各闢	各辟
各闢蹊徑	各辟蹊径
各簽	各签
各人兒洗面兒各人兒光	各人儿洗面儿各人儿光
各如其面	各如其面
各升	各升
各勝	各胜
各團	各团
各團體	各团体
各系	各系
各系所	各系所
各向	各向
各向異性	各向异性
各行其志	各行其志
各須	各须
各有千秋	各有千秋
各有勝負	各有胜负
各院系	各院系
各種	各种
各種各樣	各种各样
各種人	各种人
各種事	各种事
各種顏色	各种颜色
個案	个案
個案分析	个案分析
個案紀錄	个案纪录
個案研究	个案研究
個把	个把
個把月	个把月
個別	个别
個別測驗	个别测验
個別差異	个别差异
個別輔導	个别辅导
個別教學	个别教学
個別情況	个别情况
個別生產	个别生产
個別談話	个别谈话
個別現象	个别现象
個別性	个别性
個別指導	个别指导
個兒	个儿
個個	个个
個個稱羨	个个称羡
個股爲	个股为
個過客	个过客
個核	个核
個例	个例
個屁阿	个屁阿
個人	个人
個人本位	个人本位
個人撥接	个人拨接
個人崇拜	个人崇拜
個人儲蓄	个人储蓄
個人單季	个人单季
個人得失	个人得失
個人電腦	个人电脑
個人風	个人风
個人工作室	个人工作室
個人護理	个人护理
個人化	个人化
個人獎	个人奖
個人利益	个人利益
個人賽	个人赛
個人傷害	个人伤害
個人首頁	个人首页
個人所得	个人所得
個人所得稅	个人所得税
個人外交	个人外交
個人網站	个人网站
個人衛生	个人卫生
個人消費	个人消费
個人性	个人性
個人隱私	个人隐私
個人用	个人用
個人用戶	个人用户
個人主義	个人主义
個人資料	个人资料
個人組	个人组
個事	个事
個數	个数
個體	个体
個體發育	个体发育
個體戶	个体户
個體經濟	个体经济
個體所有	个体所有
個頭	个头
個頭兒	个头儿
個位	个位
個位數	个位数
個性	个性
個性化	个性化
個性難改	个性难改
個樣	个样
個展	个展
個鐘	个钟
個鐘錶	个钟表
個子	个子
箇舊	个旧
箇舊市	个旧市
箇舊縣	个旧县
箇中	个中
箇中奧祕	个中奥秘
箇中奧妙	个中奥妙
箇中道理	个中道理
箇中高手	个中高手
箇中好手	个中好手
箇中理由	个中理由
箇中強手	个中强手
箇中人	个中人
箇中三昧	个中三昧
箇中消息	个中消息
箇中玄機	个中玄机
箇中訊息	个中讯息
箇中原因	个中原因
箇中滋味	个中滋味
箇中資訊	个中资讯
給出	给出
給個棒錘當針認	给个棒锤当针认
給價	给价
給我乾脆	给我干脆
給藥	给药
給於	给于
根莖葉	根茎叶
根據	根据
根據地	根据地
根據規定	根据规定
根據上表	根据上表
根目錄	根目录
根深葉茂	根深叶茂
根系	根系
根鬚	根须
根菸	根烟
根壯葉茂	根壮叶茂
跟出	跟出
跟出來	跟出来
跟出去	跟出去
跟斗	跟斗
跟了	跟了
跟屁蟲	跟屁虫
跟前跟後	跟前跟后
跟他一鬥	跟他一斗
跟頭蟲	跟头虫
亙古	亘古
耕出	耕出
耕當問奴	耕当问奴
耕當問奴織當訪婢	耕当问奴织当访婢
耕地面積	耕地面积
耕穫	耕获
耕九餘三	耕九余三
耕前耡後	耕前耡后
耕傭	耕佣
耕御路	耕御路
耕種	耕种
耕作制度	耕作制度
羹裏來飯裏去	羹里来饭里去
哽咽	哽咽
耿耿於懷	耿耿于怀
耿耿於心	耿耿于心
耿於	耿于
骾朴	骾朴
更出	更出
更大範圍	更大范围
更待干罷	更待干罢
更當	更当
更動表	更动表
更復	更复
更鼓敲盡	更鼓敲尽
更加規範	更加规范
更僕難數	更仆难数
更籤	更签
更甚於	更甚于
更勝一籌	更胜一筹
更向	更向
更須	更须
更願	更愿
更願意	更愿意
更鐘	更钟
工布江達	工布江达
工布江達縣	工布江达县
工廠	工厂
工廠佈置	工厂布置
工廠法	工厂法
工廠工業	工厂工业
工廠權	工厂权
工廠衛生	工厂卫生
工廠自動化	工厂自动化
工程系	工程系
工程學系	工程学系
工黨	工党
工價	工价
工礦炸藥	工矿炸药
工人黨	工人党
工商綜合區	工商综合区
工團	工团
工團主義	工团主义
工業技術	工业技术
工業民主制	工业民主制
工業體系	工业体系
工業團體	工业团体
工藝美術	工艺美术
工於	工于
工於心計	工于心计
工餘	工余
工欲善其事	工欲善其事
工緻	工致
工種	工种
工作表	工作表
工作規範	工作规范
工作面	工作面
工作臺	工作台
工作團	工作团
工作制	工作制
工作制度	工作制度
弓不虛發	弓不虚发
弓極	弓极
弓漿蟲	弓浆虫
弓弦	弓弦
弓腰曲背	弓腰曲背
弓影杯蛇	弓影杯蛇
弓影浮杯	弓影浮杯
弓折箭盡	弓折箭尽
弓折矢盡	弓折矢尽
公報私仇	公报私仇
公佈	公布
公佈出來	公布出来
公佈欄	公布栏
公佈於衆	公布于众
公才公望	公才公望
公出	公出
公定價	公定价
公定價格	公定价格
公斗	公斗
公方代表	公方代表
公幹	公干
公告地價	公告地价
公告價格	公告价格
公公向孫子磕頭	公公向孙子磕头
公共關係	公共关系
公共團體	公共团体
公共休閒環境	公共休闲环境
公共支出	公共支出
公廣集團	公广集团
公合	公合
公價	公价
公據	公据
公開場合	公开场合
公開出來	公开出来
公克	公克
公了	公了
公里	公里
公里時	公里时
公里數	公里数
公曆	公历
公路個人賽	公路个人赛
公門裏好修行	公门里好修行
公門修行	公门修行
公門之中好修行	公门之中好修行
公民表決	公民表决
公明黨	公明党
公墓裏放鞭炮	公墓里放鞭炮
公平合理	公平合理
公僕	公仆
公切面	公切面
公然表示	公然表示
公認會計准	公认会计准
公升	公升
公使團	公使团
公私合營	公私合营
公私兩盡	公私两尽
公孫丑	公孙丑
公孫大娘	公孙大娘
公聽並觀	公听并观
公同	公同
公同共有	公同共有
公釐	公厘
公羊春秋	公羊春秋
公益彩券	公益彩券
公用限制	公用限制
公用徵收	公用征收
公有制	公有制
公餘	公余
公之於衆	公之于众
公制	公制
公制單位	公制单位
公衆參與	公众参与
公諸同好	公诸同好
公諸於世	公诸于世
公仔麪	公仔面
功布	功布
功大於過	功大于过
功過參半	功过参半
功績制	功绩制
功課表	功课表
功流萬世	功流万世
功率表	功率表
功率惡化	功率恶化
功率輸出	功率输出
功能表	功能表
功能磁共振成像術	功能磁共振成像术
功能團	功能团
功能團體	功能团体
功同良相	功同良相
功同賞異	功同赏异
功緻	功致
攻擊範圍	攻击范围
攻擊面	攻击面
攻克	攻克
攻了	攻了
攻守同盟	攻守同盟
攻無不克	攻无不克
攻無不克戰無不勝	攻无不克战无不胜
攻向	攻向
攻佔	攻占
供出	供出
供大於求	供大于求
供電系統	供电系统
供給面	供给面
供給制	供给制
供過於求	供过于求
供暖系統	供暖系统
供水系統	供水系统
供銷合作	供销合作
供銷合作社	供销合作社
供應鏈	供应链
供油系統	供油系统
供製	供制
宮里藍	宫里蓝
宮裏	宫里
恭喜發財	恭喜发财
躬擐甲冑	躬擐甲胄
躬先表率	躬先表率
龔勝	龚胜
龔照勝	龚照胜
汞合金	汞合金
拱出	拱出
拱極星	拱极星
拱手而別	拱手而别
拱手讓出	拱手让出
拱托	拱托
共擺	共摆
共餐青年團	共餐青年团
共產黨	共产党
共產黨部隊	共产党部队
共產黨人	共产党人
共產黨宣言	共产党宣言
共產黨員	共产党员
共產黨政府	共产党政府
共產集團	共产集团
共產制	共产制
共產主義青年團	共产主义青年团
共剷	共铲
共出	共出
共黨	共党
共軛不盡根	共轭不尽根
共軛複數	共轭复数
共軛雙曲線	共轭双曲线
共發射極	共发射极
共和黨	共和党
共和黨籍	共和党籍
共和黨人	共和党人
共和曆	共和历
共和歷史	共和历史
共和制	共和制
共獲	共获
共基極	共基极
共價	共价
共價鍵	共价键
共青團	共青团
共審制度	共审制度
共通意志	共通意志
共同	共同
共同保證	共同保证
共同被告人	共同被告人
共同財產	共同财产
共同財產制	共同财产制
共同代表	共同代表
共同代理	共同代理
共同點	共同点
共同感覺	共同感觉
共同綱領	共同纲领
共同管道	共同管道
共同海損	共同海损
共同基金	共同基金
共同繼承	共同继承
共同交際語	共同交际语
共同經營	共同经营
共同決議案	共同决议案
共同科目	共同科目
共同利益	共同利益
共同努力	共同努力
共同企業	共同企业
共同趨向	共同趋向
共同篩選	共同筛选
共同社	共同社
共同市場	共同市场
共同訴訟	共同诉讼
共同體	共同体
共同通訊社	共同通讯社
共同性	共同性
共同語	共同语
共同運銷	共同运销
共同閘道介面	共同闸道介面
共同正犯	共同正犯
共挽鹿車	共挽鹿车
共享計劃	共享计划
共遊	共游
共禦外侮	共御外侮
貢獻出	贡献出
貢菸	贡烟
勾出	勾出
勾當	勾当
勾幹	勾干
勾畫出	勾画出
勾劃	勾划
勾魂蕩魄	勾魂荡魄
勾了	勾了
勾勒出	勾勒出
勾心鬥角	勾心斗角
溝谷	沟谷
鉤蟲	钩虫
鉤蟲病	钩虫病
鉤黨	钩党
鉤花點葉	钩花点叶
鉤深致遠	钩深致远
鉤心鬥角	钩心斗角
鉤針	钩针
狗才	狗才
狗黨狐羣	狗党狐群
狗口裏吐不出象牙	狗口里吐不出象牙
狗釦	狗扣
狗鏈	狗链
狗孃養的	狗娘养的
狗皮膏藥	狗皮膏药
狗雜種	狗杂种
狗占馬坑	狗占马坑
狗嘴裏	狗嘴里
狗嘴裏還有象牙	狗嘴里还有象牙
苟合	苟合
